text,pred_label
"I did 3 timed tests testing different skills (literacy, number sequences and shape pattern sequences) and although I feel I did very well on one test and very badly on another, I got the exact same score for each test (which strikes me as bonkers). I have no idea whether it's good or bad. I expected to get some sort of report or analysis at the end but received nothing - it told me my final score then ended the game. Will I ever find out what it all meant? I'm very confused and unsatisfied! :(",0
Not able to sign in. It keeps showing sign in failed . Please fix it,0
Do not download,0
Nice,1
Really interesting and technical psychometric test.,1
"Nice assessment. Not stressful, it's just playing a game.",1
could not get it to work on chromcast even though it was connected. could not get it to start game,0
"Stupid game. let me out of Cisco. this app make no sense i have passed all stages with 900 - 1000 points per stage, and still i was not selected , i don't know why :/",0
Purchased the game but it wont download on my Samsung Galaxy s8. Please fix,0
👌,0
Lots of fun challenges and it made me want to do them again to beat my previous scores. Very easy to use and clear instructions.,1
better than your average testing,1
Interesting challenging and very innovative. In my opinion the only aspect that could be improved is the emotion recognising test where the computer generated people expressing emotions should be changed with pictures of real people expressing different emotions. Thank you very much for creating this assessment I enjoyed.,1
Good application,1
Some instructions really unclear (e.g. Electric machines) Some tasks complete RNG with no skill involved. I would NEVER recommend using this app to test future employees.,0
Interesting and out of the box Personality test,1
"Its meh, not a huge variety and an ok selection... Pretty sure I'm the first to download as well. There's no way +100 downloaded this.",0
Its good but not necessarily the route id take when recruiting. I prefer an assesment centre and interview.,1
Not user friendly. I tried two times had to uninstall because its not useful to me. Not easy to make phone as web cam. Windows app is not generating the qr code. Cool idea but poor UX,0
"Screen mirror turns Screen brightness off, looking like black screen. The notification of: 'instable connection' is a nightmare: won't remove other then force stop + keeps screen on and phone awake + drains battery. Phone: Xiaomi A2 light",0
"Useless. Followed all directions, connects for a moment, and then returns to ""select a device to pair"" Hours wasted to do nothing.",0
"I inconvenienced myself, deleted some of the best apps in my Samsung Galaxy Grand 2 device to free up more spaces for the app, I wasted my hard earned data to download this app but it won't just install on my device. I have verified and check the apps permission, and downloaded it for more than 3 times, the problem continues. It is sad! A good app is measured by its usability, addiction and accessibility and this has failed the first two tests.",0
good,1
It's a shame that we are now using apps as part of an application for a vacancy. I fail to see how you can accurately place people into personality type using games on your phone.Despite their previous responses it's just really a shame I hope that employers do not continue to use this as part of their processes.,0
It's not that nice you don't have ringtones only message tones are there,0
"Was asked to do this as part of job application. I don't think I'll be going further based on the report!!! I think it's great that companies are being more innovative in how they recruit, but this very much felt like a test of my phone using skills rather than anything else. I'd say I was a pretty self aware person and don't agree with most of the report. That may well be me being deluded but I think it shows limitations of this kind of testing. Maybe it would be more effective if not so long?!",0
"Screen mirroring is having lag, it's not optimized for 5ghz wifi. Still lag why??",0
The app is quite interesting but the results on the cognitive part made me seem pretty stupid,0
"To connect it with your computer, you should spend about 20 minutes. The worst app I've ever seen.",0
The worst app I've ever seen.,0
Overall okay experience,1
lovely,1
"Good to get you mentally going (except the lock game, the last few spins are just a lucky press and require no skill) besides that it is very engaging and fun.",1
You'll need good eyesight and coordination.,1
Why this app ask for accept contact and photo and location?,0
"App crashed multiple times during my assessment which meant I was not able to complete it, potentially jeopardising my internship application.",0
It is quite fun to do and some of the tests are a little bit tricky but it tests your nerve to have go. I think it's good and a positive experience.,1
"Looks great, it'd be nice to be able to change the colors of the complications to match the face.",1
"Exige ver publicidad mientras estas jugando. Como explicas eso??!! Como ves la publicidad si estas jugando. Nota 1, promedio 1. Pesimo juego.",1
Fun,1
CANT BELIEVE PEOPLE ARE USING THIS TO TEST APTITUDE. THE WORST TEST EVER. ITS A FLASH GAME FOR KIDS NOT TO BE USED FOR GRADUATE ASSESMENTS.,0
Terrible way of doing things,0
DUDE I HATE THAT STUPIT MONKEY ISHE IS SO STUPID AND I DON'T LIKE WHAT HE DID TO GOJIRA KONWS AS GODZILA HE IS LIKE GORILLA FROM THE MOVIE CALLED RAMPAGE IT WAS A A GAINTEST GORILLA VS A GAINTEST CROKADILE VS A GAINTEST FOX,0
Insult to the civil service Being an experienced officer I've had my fair share of repetitiveness and patterns forming with inmates but this is a joke. The role is not a game and this test should not depict whether or not to pass to the next stage and also is a misleading first impression to what to expect as a Prison officer,0
The questions kept me on my toes as well as the games,1
"Initially thought this was good, but it turns out when you're told ""there is no right or wrong way to approach these scenarios"" there evidently is! As I somehow didn't get past this test! So be careful people it's lies 🤥",0
5g,1
"Installed it and Uninstalled it 3 times already, and all it say is i need to update it, pls fix it",0
Can't connect From rog zephyrus to asus rog phone set cam as web cam.,0
Simple and clear instructions.,1
"Terrible app with worse tests (electricity test and lock test were awful, face emotion detection was weird, the balloon and the two teams game were incomprehensible)",0
"I use the lastest version (august 19 2015), after download and install is completed, i can't open the app, please fix that. My phone OS is Android KitKat.",0
App is very helpful for me,1
Very very very very bad game😧😧🙁🙁☹☹☹,0
Nice,1
App is not responding...even for a minute,0
I've done this assessment 4 times now for different companies. Why are the results always different when it's testing the same thing each time? Surely that means this test is not consistent and therefore a poor measure of my psychology.,0
Its way more easier to just share files across usb...or send links by the mail or any...its bad...i don't even want give it a single. And for some unknown reason 'Can't connect to Laptop' message continues to pop up even after uninstalling the app. Its utter disgusting.,0
This gameis very bad and many ads and grapical is bad i hate is game,0
It can not give me information which I have needs. I want to replace my Asus x00TD mobile display case,0
Interesting test very much in the vane of video games. Many of the tests are reaction based that getting progressively harder the better your reactions. Therefore alertness provided by a good night's sleep will benefit assessment results,1
I love it so much😘😘😘😘😘😘😘😘😘,1
cukup menantang dan menguji diri sampai batas2 tertentu,1
"This app is engaging and exciting. You can evaluate your own performance while playing, as well as identify your own personality.",1
🦍🦍vs🦖🦖🐉🐉👍👍👌👌👌👌👌👌👌💰💰anuchwudure,0
Picture was not wha I expected.,0
I can't down load,0
Just awful and useless,0
omg!,0
Downloaded app but won't open,0
"I have an ASUS C523NA I can`t open the app, it keeps closing. I`ve reported it but haven`t received any reply.",0
"As an app, this is effectively made and pretty well optimised for new phones. As a psychometric test, it fails to understand and aptly reflect the importance of certain abilities - this will be a serious demotivator for some applicants.",0
"Just downloaded this app per a job application and the password box doesn't prompt a keyboard, so I can't use the log in to do the test and finish the application",0
Chitiya,1
A few minutes after completing I had a 6 page report telling me what personality/Character type I was. A few minutes after that I had a message saying based on this report I was unsuitable for the position. Did this take into account I have never played a game on me phone before...ever? Did this take into account I have never played any sort of game like this before? A game that seemed to favour the ability to click fast. I work in one of the worlds biggest pharmaceutical companies. None of the people I work with got into those roles through playing a video game. I feel cheated that my application has been dismissed because of this game rather than my actual experience and personality.,0
Cam is not working on windows 11,0
Worst application. Tried with ROG not detecting camera. Worst app ever used. Don't download this trash. I can't believe asus can make trash like this. If they are reading this review they should remove this app.,0
"Enjoyed the process of it, but the assessment outcome was the total opposite of my character. Made me look very bad.",0
Don't download this,0
"Ppease fix connection problem of Shared Cam functionality. Even though you see your device in the list and is in discoverable mode, laptop app fails to connect while using shared cam. Atleast put some error messages of exactly what went wrong. Kept on displaying message can't connect to device.",0
"to say it's a bad recruitment app is an understatement. the app screening for candidates doesn't do justice to hiring companies or the candidates. there are extremely reliable ways of assessing candidates I.e 16pf , shl , capp... When recruiting is about playing games it cant get worse",0
Not very user friendly,0
Train won't move and because of that I can't finish the game.,0
"A great promise, waisted hours trying to make it work, with a new computer and a new phone, logged into Asus account. Nothing. Connection fails.",0
"DO NOT COMPLETE THIS ASSESMENT ON YOUR PC!!! There's option to use on windows but my colleague used a computer and it puts you at a huge disadvantage! I did the mobile version and because of the amount of clicking and the actual type of activities you have to complete, I reccomend if you really want an accurate result to use a mobile or tablet as it's almost impossible to do the speed clicking with a mouse. If you want a fighting chance use your mobile and you will understand why on test day!",0
Very interesting as an assessment. It was my first time and I really enjoyed it although i was very sceptical at first because the training app only provide a general training. Some parts of it are a bit challenging probably this is why it is called an assessment 😅😅.,1
I hatw it because who whats to us the flash its just loght and the qulity is horrable i hate it. Sorey dor tje bad englisg,0
it is vary bad game😡😡😡😡😡😡🤮🤮🤮🤮,0
this game is sick i love it,0
"I am not able to download this app at all, have checked on 2-3 wifi options and on phone's connection! Please help",0
This game is not for kids play,0
So it wouldn't work beforehand but i tried launching the app whilst holding my phone landscape and it works!,1
tht is a short but a very help full text for a chemist tnxxx,1
Missing Google loging... I'm loging in my PC with Google account into link to myasus... That's fail... I even made new account but can't login with it on my phone... Useless app,0
"It worked perfectly four days ago when Id' just got my new laptop, now I cannot link my phone to my computer through Bluetooth or use file share or screen sharing of any kind; screen extend & mirror. Please solve this issue.",0
Worst ringtone not set,0
Irrelevant,0
Damn companies tryna milk their consumers money. This app only works if you have another Asus device. Better off with Samsung's DeX. They can just plug an hdmi or just use the app on any computer. What a joke.,0
Overall enjoyed the app and most of the tests really assess one's ability to react in different situations.,1
it was a lot of fun,1
Enjoying each activity. Simple graphic design and instructions. Easy to follow.,1
It's not bad!,1
The purpose of many games was not apparent or badly done e.g. during the competing team game it was impossible to maximise profit for the team or company as the computer simply copied the user input). Additionaly games like the facial emotion recognition suggered due to the poor rendering qualoty of thr faces.,0
excellent test model,1
45-55 minutes my ass. I have doing the lock thing for 30 minutes and still can't do it,0
The link app may be fine but camera app on my laptop is surely not what it should be. When I had automatically installed the app on laptop it blocked the inbuilt camera of my PC and continued to insist to download this link app. Worst still that this app won't work if you provide permission for mic and camera only on your phone. You must provide permission for change of settings as well which is quite dangerous.,0
Hello I have downloaded the app to do my assessment however it won't allow me to out in my password I have uninstall it 3 times and reinstalled it and it is just the same. I can only put it my username. I have also attempted on my laptop and still the same. My WiFi is perfectly fine. Ive been trying to get in touch with someone to help and nothing!,0
Well thought out.,1
It says the N word,1
how do you connect your watch,1
"Shittiest app ever, don't use it if they send you an email about advancing further. They just jebaited you",1
Not cool,0
Waste of time. Does not pair to my Note 9.,0
Amazing 😗,1
"Works well for what's needed to gain for assessments., would be good if you knew what it analyses :)",1
Zmnsda,1
Problem in downloading... pls check,0
Try to split a large batch recipe that I use at work and it won't break the recipe down,0
"I think this app tells you fairly accurate results for your personality. However, I don't think that most employers will be able to accurately interpret them. For example I came out as way more instinctive. Which is should be true for everyone as we are humans and rely on System 1 thinking. But I fear that most employers would interpret it as you being someone incapable of critical thinking. In the end as you say you produce results driven by accurate neuroscience, the people looking at them most of the time will not be psychologists.",1
Super,1
Brilent,1
Pearl bhai photo kiun nehni he,1
Waste of time. These tests will not reflect and employees ability in the work space. The only worthwhile test was the last one,0
App asks me to update and never launches. I have the updated version already!,0
"Fantastic game, but there's so many ads (long ones too) you spend about 10% of the time on the game actually playing. Will re-download if this changes. I wouldn't mind as much if they were at least the short, 5 second ones.",1
"UX is a choppy, and the latest update has added a use-phone-as-webcam feature that's useless at best, as I'm unable to get it to work despite following all FAQs, including updating software/app on both computer and phone. Horrible!",0
"Misleading. All the customisation, except colour, is in the premium version only. Yet screenshots make it look like you can add widgets from the free version. Had I known, I would not have wasted my time installing. Uninstalling it now.",0
"Overall great work. The section with the generators could have been better though. I couldn't recognise any patterns! Nonetheless, well played!",1
Only ads... Fuuuu...,0
Very 😞 bad 🎮uuuuuuyygy6,0
terrible,0
I love naagini serial meena and mahir,1
very buggy and laggy it keeps on showwing not respondig please fix this.,0
Garbage 125% never any live players.,0
a really good game to play,1
"I was advised to use the app the report a problem, but there is no option to do that.",0
👎,0
A complete waste of time! I downloaded the android app and the windows MyAsus App. It took over an hour just to get to a log in screen in the android app. I had to connect and reconnect my phone to my laptop 3 times. In the end connection in this app failed to connect to my laptop. My experience doesn't come close to the seamless experience in the YouTube video for the android app. I uninstalled both apps.,0
connrction failed always,0
Unable to even open the app,0
Absolutely terrible,0
Arslan Vop,1
Share camera doesn't work at all,0
Educational products must be ad free,1
Didn't work on my lg urbane,0
Okkkk,1
How do you change the time to 12 hours from 24 military time? At 12 it shows 0 for hour.,0
gr8 app,1
Can't pair with mobile,0
The experience was not so fun. Still needed improvements for graphics and sound. Kong makes annoying sounds and only 1 voice is available. Cant even Destroy buildins or even cars.,0
"it never works I could install it on my watch it's a scam! How do you name a purchase that does not work? I think my money went to the trash the correct name is ""fraud""",0
Unitnstalled when I started getting We Miss You!.notifications everyday,0
I can't even sign in,0
"This is an Good game, I just love how Gojira Looks it looks the 2014 Style, I hope they add more Monsters, BTW Cool Game!",1
Didn't worked at all with Asus vivobook 14 i5,0
"Overall this wasnt too bad however I dont believe this game should determine whether or not I get a job, I spent hours trying the final task and completed it only to find it had no real impact on my score, this is fun and enjoyable with a little bit of challeng to it however it has nothing to do with the job I'm applying for, this app has potential but it's not yet at the level to determine someone's future, the game or ""assessment"" is mostly a reaction test mostly based off luck.",1
I don't have link to myasus option in my myasus app on my pc!,0
certainly a different way of a doing a test but I found it to be mostly enjoyable. Instructions given to the player explain everyrhing that you need to do clearly ans the last stage was the only difficult section.,0
how do u sign in,1
Its getting connection lost,0
Horrible stupid app.,0
"I don't know if it was wanted but for the electricity game I thought it wasn't very clear that the negative variable was individual for each lever. So u have to test them quite a lot imo. Never had a test like this, was fun !",1
I haven't downloaded it yet. Should I?,0
Every time I get pairing failed,0
"What a fun way to devalue the process of job applications by attaching a mandatory array or terribly designed reaction time games to it If this is what the HMP job system thinks is good, then I see no reasons to attempt to get a job there",0
Tp,1
Dreadful for many many reasons. There's no point in writing a review for this as the developers respond to 90% of their criticism in the same manner. Certainly I will hesitate to apply to companies which decide to use an app produced by such an inept development studio.,0
great app to test ones abilities. It would be nice to see what the average score is from everyone who's played the game to see how you've done. Maybe even a top 10 of the highest scores. No need to post names of the people. Just the scores for those of us who are competitive,1
I put in the link and hit the go button but nothing happens so I hit it again nothing happen so I use different link nothing happen and I'm on galaxy note 9,1
"Paid for it, but when I open the game, hit play, and the game closes out by itself. Very disappointed. Redunded it almost 5 days ago, and still havent seen my money back. Not worth it.",0
"I tried hard, but can't connect my pc to the app. Got problem with network and it's tell me to use same network in mobile and pc. As they are!",0
Giving assessments was fun. But one task had insufficient instructions and was unclear.,0
The test was exactly the same as a traditional online logical reasoning test except it's on your phone so everything's 10x smaller and it's way harder to see what's going on. Beyond pointless.,0
"Very interactive and fun. Personally, I want to know if I have won or not and the game doesn't show that.",0
Some of the assessment are enjoyable but some are just frustrating like inflating balloons really?,0
"I understand the idea and perhaps the theories of psychometric science that are quoted when justifying the existence of the app and I can fully get behind testing the idea. What I cannot get behind is using this as a tool to screen potential candidates. Solving multi armed bandit problems, impossible infinite tasks and classical prisoner dilemmas may give you insights on some of the evaluated individuals characteristics, but by no means are they a measure of what led to these specific decisions. The results of the test appear to be mostly conjecture and guesses, in many ways easy to influence by biases, algorithmic or otherwise. If this becomes the norm I would very much encourage people to learn about the classical problems I mentioned, we practice for interviews, test and exams, why should you not practice before these?",1
This is good but The name of King Kong is Gorilla but it's ok,1
not coming,0
Beautiful themes.good app,1
Very good feedback in general (from a laptop user).,1
"This is such a useless app. It never connects to my RoG laptop, no matter how many times i restar the application and do every single step for connection. Its better to download share it instead of this for file transfer. And for accessing laptop and control remotely, go for Air Droid. Just uninstall and report this app, doesn't work on time.",0
"Quite fun, definitely challenging. Some levels are a bit tedious.",0
Nice little app quite fun,1
Awful app and awful way to select candidates. Glitches badly meaning you fail and theres no option to retake. Absolutely awful. Would give no stars if i could.,0
"I can't download the app. Already followed the steps to troubleshoot, but still can't download it.",0
Good fun,1
Not enough information to be really useful. I tried to uninstall and get my refund but the app refused. It had no trouble taking my money.,0
"The level of arrogance displayed in the reactions given by the developer here, pretending they have developed the perfect personality test. About the game, the one with the two teams: are we going for profit maximization? The fact that there are two opposing teams would make you think so. Think again, it's about altruism. Really? The ones with the balloons and the electricity felt way too random to be really meaningful. And the faces were too poorly drawn for giving insight in emotion recognition",1
eye specialist,1
Very Good,1
"A thoroughly disappointing experience. I was left deeply unimpressed by what seemed to be a series of tests of reaction rather than anything else. This was the first time I have had an Arctic Shores psychometric test for a job, and if I see another position that requires one, it will be a negative consideration in a decision to apply.",0
The app describes how to complete each task and while they are mostly simole they can also be difficult.,1
My first game based assessment. Was fun,1
I don't want to be forced to share my location... Edit after developer review: Not all functions require location - if I am going to use only those who do not require location - I do not want to allow location in the first place...,0
"Very poor app, We don't know Mobile and Laptop connected or not.",0
"I enjoyed most of the levels, however I didn't get my score at the end because it said there was a problem with my Internet connection. There was nothing wrong with my Internet connection so where does this now mean I won't be accepted for the job?",0
"I got frustrated due this software for writing online ,this app opening my mobile camera ,not my default webcam due to this i faced lot of issue during exam worst appp🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😞",0
"Android app not even opening, let alone working",0
Nice,1
It was frustrating at first coz my phone didn't support but when i did It on a friends phone i found that the concept of it was amazing. I enjoyed it. Some of them can be frustrating at times lol and some of them needs to be explained abit more. Some games need to replaced. But i loved it. I would recommend this anytime that those 5 hrs assessment anytime lol,1
"The most recent update to MyAsus has killed my webcam functionality. On one hand, it forces me to use this app, and then still fails. I had paid for Droidcam X to use my Pixel as a camera extension on my app. It is not a hardware issue, but rather one of this new software overriding an existing app. I have had to buy a new usb webcam. Furthermore, I feel that the permissions required for this function are excessive and I am not willing to accept them.",0
"It was quite nerve racking some of the games, i wasn't sure what to expect but quite exciting. I had to give up in the final round",0
It is exciting and challenging.,1
My laptop keeps asking to pair bluetooth even in sleep mode. It's asking for access in my phone even after shutting the laptop. I am aware that privacy is a joke but not so blatantly and up front.,0
Never used online game style testing before so as yet can not give a clear opinion. Never played a video game as I find them antisocial.,0
Super Appa,1
Fun assessment. Better than going to a testing centre,1
Ridiculous and not at all relevant to the role. I passed this stage of the assessment proccess and still think it's irrelevant and does not reflect my abilty to do the job.,0
Wuw,0
Interesting exercises. Really need a touchscreen device to do yourself justice,1
Good idea. Execution on facial recognition needs work.,0
Hard to use. Already in same wifi (home) but can't find the mobile device that already pair,0
This app is very bad because it doesn't look real my sister said that it was very bad. 😡😡😡.,0
Dreadful,0
How to sign in to play the game?,1
"Nice part with emotions and profit for your team. The test with ballons is also quiet good. Other test made me feel awkward for the company I apply. I'm affraid some test are more oriented to test a computer, not a person. At least not a person who think before acting.  It takes more than 50 minutes if you try to do your best.   It's not relaxing. But it is totally better than a psychometric test provided by a person.  I would love my future employer to treat me and other people with the same patience and care that I used to complete this test.  My final opinion is positive, I like such changes in recruitment process. I am really curiouse to learn those tests meaning.  Thank you.",0
I love this game beacuse i like move godzilla vs kong,1
Bablu,1
want to check the level of your brain functionality? then this is the test for you.,1
It's great but the characters voices doesnt work at all and I just bought it,0
Valo,1
"Can't login properly as when I select the password box it wont bring up the keyboard. If I press okay without entering password it tries to launch the assessment, but without having entered the password idk if it's logged in properly",0
"Useless time consuming app, pure nonsense. Give you cramps in your fingers and you start clicking randomly. Failed me for 2 companies. Will never apply for a job with the companies that use this irrelevant clic click click. I am not a gamer.",0
There is no point for this app to exist at the first place.,0
I had to complete this test to apply for an engineering position. Every game is entirely about reaction time. I spent over an hour attempting the lock picking question as it was literally impossible. The object moved so fast that my screen couldn't refresh and update adequately. I think by using the app it has made me see that maybe i shouldn't work for the company.,0
ki bilkul bhi accha camera nahin hai download hi nahin hota bohot jyada mb ka hai faltu mein se free bol rahe hain jabki free nahin hai,1
You can't ever beat the game because the train won't take you where you need to go so not worth 5 dollars please fix this glitch!,0
Misleading add,0
A complete waste of time,0
Ok,1
Very good,1
Fun but career destructive. As a disabled military veteran. I failed a job application purly based on my ability to engage in a game. I have compromised manual dexterity and coordination. You lose points based on speed. No adjustments for disabled people exist. So inadvertently I have been discriminated against.,0
How is my cognition so low on this test yet so high on most professional psychometric tests I've done. It's incredible how unreliable tests like these are actually used by government institutions. Also... the electrical power generator task instructions were very unclear.,0
Ok,1
It's fun but that number 5.... 😂😂,0
Ok,1
Worst latency for shared cam. Not even usable,0
Good,1
"Cannot login, no internet connection. All rest app have internet, this one doesn't... All permissions are given, no network block or somthing, just a stupid bug.",0
"This is amazing watch face. Can you please please add one feature. Ability to choose multiple colors or say random color, so color should automatically change every hour etc. It would be fun",1
Nice app,1
Poop,1
